timestamp,t_ex,u_ex,t_amb,u_amb,delta_t,delta_u,label_str,classe
1770857744.2067647,33.84,57.17,28.12,77.89,5.720000000000002,-20.72,IDLE,0
1770857886.5710394,34.28,55.48,28.17,77.06,6.109999999999999,-21.580000000000005,IDLE,0
1770857591.9965737,33.86,57.1,28.05,77.96,5.809999999999999,-20.859999999999992,IDLE,0
1770857902.045378,34.27,55.41,28.17,77.11,6.100000000000001,-21.700000000000003,IDLE,0
1770858035.1238475,34.47,54.79,28.19,77.23,6.279999999999998,-22.440000000000005,IDLE,0
1770857654.45723,33.77,57.1,28.14,77.81,5.630000000000003,-20.71,IDLE,0
1770857737.7363105,33.76,57.2,28.11,78.02,5.649999999999999,-20.819999999999997,IDLE,0
1770858040.7512348,34.44,54.83,28.19,77.25,6.2499999999999964,-22.42,IDLE,0
1770857936.0890098,34.32,55.28,28.16,77.33,6.16,-22.05,IDLE,0
1770857850.5582614,34.09,56.06,28.16,77.22,5.930000000000003,-21.16,IDLE,0
1770857685.6860864,33.65,57.38,28.1,77.75,5.549999999999997,-20.37,IDLE,0
1770857655.5815125,33.77,57.09,28.13,77.75,5.640000000000004,-20.66,IDLE,0
1770857698.0659745,33.59,57.4,28.06,77.83,5.530000000000005,-20.43,IDLE,0
1770857950.437314,34.4,55.2,28.19,77.29,6.209999999999997,-22.090000000000003,IDLE,0
1770857913.8615022,34.32,55.37,28.15,77.22,6.170000000000002,-21.85,IDLE,0
1770857795.4131012,33.95,56.44,28.18,77.63,5.770000000000003,-21.19,IDLE,0
1770857671.3373184,33.65,57.24,28.09,77.65,5.559999999999999,-20.410000000000004,IDLE,0
1770857786.6913404,33.96,56.51,28.15,77.62,5.810000000000002,-21.110000000000007,IDLE,0
1770857892.1981156,34.26,55.45,28.17,77.1,6.089999999999996,-21.64999999999999,IDLE,0
1770857859.2801154,34.15,55.92,28.2,77.0,5.949999999999999,-21.08,IDLE,0
1770857598.7494924,33.91,57.06,28.06,77.94,5.849999999999998,-20.879999999999995,IDLE,0
1770857608.8777926,33.88,56.94,28.08,77.94,5.800000000000004,-21.0,IDLE,0
1770857769.5297108,33.97,56.74,28.16,77.71,5.809999999999999,-20.96999999999999,IDLE,0
1770857844.3683033,34.03,56.03,28.17,77.28,5.859999999999999,-21.25,IDLE,0
1770857637.857096,33.81,57.1,28.11,77.83,5.700000000000003,-20.73,IDLE,0
1770857922.021389,34.28,55.31,28.15,77.23,6.130000000000003,-21.92,IDLE,0
1770857671.6181064,33.65,57.17,28.1,77.67,5.549999999999997,-20.5,IDLE,0
1770857819.8904638,33.97,56.23,28.15,77.33,5.82,-21.1,IDLE,0
1770857648.8293126,33.79,57.09,28.12,77.77,5.669999999999998,-20.679999999999996,IDLE,0
1770857805.822565,33.98,56.45,28.14,77.58,5.839999999999996,-21.129999999999995,IDLE,0
1770857592.559453,33.86,57.06,28.05,77.92,5.809999999999999,-20.86,IDLE,0
1770857814.26364,34.0,56.36,28.14,77.43,5.859999999999999,-21.070000000000007,IDLE,0
1770857599.5931735,33.92,57.07,28.06,77.93,5.860000000000003,-20.860000000000007,IDLE,0
1770857973.5086322,34.47,55.02,28.2,77.22,6.27,-22.2,IDLE,0
1770857669.3681772,33.66,57.15,28.1,77.58,5.559999999999995,-20.43,IDLE,0
1770857646.8595848,33.8,57.07,28.11,77.8,5.689999999999998,-20.73,IDLE,0
1770857747.3019743,33.86,57.04,28.12,77.83,5.739999999999998,-20.79,IDLE,0
1770857998.548305,34.46,55.01,28.19,77.15,6.27,-22.140000000000008,IDLE,0
1770857694.970965,33.58,57.39,28.07,77.81,5.509999999999998,-20.42,IDLE,0
1770857612.815835,33.86,56.93,28.08,77.91,5.780000000000001,-20.98,IDLE,0
1770857867.1579683,34.22,55.7,28.19,76.95,6.029999999999998,-21.25,IDLE,0
1770857728.45163,33.71,57.3,28.08,78.03,5.630000000000003,-20.730000000000004,IDLE,0
1770857904.8588831,34.29,55.45,28.18,77.13,6.109999999999999,-21.679999999999996,IDLE,0
1770857948.187067,34.4,55.21,28.17,77.32,6.229999999999997,-22.109999999999992,IDLE,0
1770857631.1051102,33.78,57.11,28.1,77.97,5.68,-20.86,IDLE,0
1770857956.0646408,34.44,55.14,28.19,77.3,6.2499999999999964,-22.16,IDLE,0
1770857930.461328,34.32,55.31,28.14,77.29,6.18,-21.980000000000004,IDLE,0
1770857781.34545,33.97,56.59,28.16,77.73,5.809999999999999,-21.14,IDLE,0
1770857630.260295,33.76,57.09,28.1,77.92,5.659999999999997,-20.83,IDLE,0
1770857714.9470294,33.65,57.44,28.01,77.93,5.639999999999997,-20.49000000000001,IDLE,0
1770858015.711157,34.49,54.93,28.21,77.26,6.280000000000001,-22.330000000000005,IDLE,0
1770857597.060578,33.91,57.06,28.06,77.95,5.849999999999998,-20.89,IDLE,0
1770857831.1443155,34.03,56.14,28.12,77.35,5.91,-21.209999999999997,IDLE,0
1770857987.8569548,34.46,54.97,28.2,77.16,6.260000000000002,-22.19,IDLE,0
1770857617.8810203,33.79,57.0,28.03,77.93,5.759999999999998,-20.930000000000007,IDLE,0
1770857754.8986783,33.88,56.95,28.15,77.82,5.730000000000004,-20.86999999999999,IDLE,0
1770857799.3509555,33.97,56.42,28.14,77.57,5.829999999999998,-21.14999999999999,IDLE,0
1770857728.7330298,33.72,57.27,28.06,78.01,5.66,-20.74,IDLE,0
1770857855.6225777,34.1,55.99,28.19,77.11,5.91,-21.12,IDLE,0
1770857737.4547613,33.74,57.21,28.1,77.94,5.640000000000001,-20.73,IDLE,0
1770857725.0753856,33.7,57.3,28.05,78.03,5.650000000000002,-20.730000000000004,IDLE,0
1770857645.4526446,33.78,57.07,28.12,77.78,5.66,-20.71,IDLE,0
1770857912.1734774,34.31,55.39,28.16,77.19,6.150000000000002,-21.8,IDLE,0
1770857635.3253942,33.8,57.11,28.12,77.9,5.679999999999996,-20.790000000000006,IDLE,0
1770857768.9666646,33.97,56.73,28.16,77.69,5.809999999999999,-20.96,IDLE,0
1770857808.6356978,34.0,56.46,28.15,77.56,5.850000000000001,-21.1,IDLE,0
1770857882.0689664,34.26,55.49,28.16,77.04,6.099999999999998,-21.550000000000004,IDLE,0
1770857835.9275992,34.0,56.05,28.12,77.3,5.879999999999999,-21.25,IDLE,0
1770857629.9797795,33.8,57.08,28.1,77.93,5.699999999999996,-20.85000000000001,IDLE,0
1770857978.5729926,34.46,54.96,28.18,77.23,6.280000000000001,-22.270000000000003,IDLE,0
1770857673.587658,33.67,57.25,28.11,77.7,5.560000000000002,-20.450000000000003,IDLE,0
1770857868.282592,34.21,55.65,28.19,76.92,6.02,-21.270000000000003,IDLE,0
1770857958.8779368,34.45,55.13,28.21,77.28,6.240000000000002,-22.15,IDLE,0
1770857735.7673137,33.75,57.21,28.1,77.96,5.649999999999999,-20.749999999999996,IDLE,0
1770857978.29098,34.48,54.96,28.18,77.23,6.299999999999997,-22.270000000000003,IDLE,0
1770857781.9080222,33.99,56.59,28.16,77.68,5.830000000000002,-21.090000000000003,IDLE,0
1770857905.4201765,34.3,55.42,28.19,77.14,6.109999999999996,-21.72,IDLE,0
1770857718.0422544,33.67,57.33,28.04,78.0,5.630000000000003,-20.67,IDLE,0
1770857836.4904046,34.04,56.1,28.12,77.31,5.919999999999998,-21.21,IDLE,0
1770857767.8412397,33.96,56.74,28.16,77.7,5.800000000000001,-20.96,IDLE,0
1770857791.7554984,33.97,56.44,28.16,77.61,5.809999999999999,-21.17,IDLE,0
1770857998.2672012,34.44,54.98,28.18,77.18,6.259999999999998,-22.20000000000001,IDLE,0
1770857960.284451,34.44,55.09,28.19,77.27,6.2499999999999964,-22.179999999999996,IDLE,0
1770858026.682928,34.54,54.78,28.22,77.22,6.32,-22.44,IDLE,0
1770858013.178219,34.5,54.97,28.19,77.3,6.309999999999999,-22.33,IDLE,0
1770858033.154914,34.49,54.78,28.18,77.22,6.310000000000002,-22.44,IDLE,0
1770857647.704013,33.8,57.1,28.14,77.83,5.659999999999997,-20.73,IDLE,0
1770857918.9259634,34.27,55.3,28.15,77.2,6.1200000000000045,-21.90000000000001,IDLE,0
1770857839.867354,34.04,56.02,28.14,77.28,5.899999999999999,-21.26,IDLE,0
1770857698.910587,33.57,57.41,28.05,77.84,5.52,-20.430000000000007,IDLE,0
1770857866.8765993,34.21,55.68,28.19,76.91,6.02,-21.23,IDLE,0
1770857722.8248494,33.7,57.35,28.06,78.02,5.640000000000004,-20.669999999999995,IDLE,0
1770857746.739455,33.84,57.03,28.12,77.87,5.720000000000002,-20.840000000000003,IDLE,0
1770857808.3544312,33.99,56.41,28.14,77.58,5.850000000000001,-21.17,IDLE,0
1770857819.3278246,33.97,56.26,28.14,77.35,5.829999999999998,-21.09,IDLE,0
1770857818.765096,33.96,56.25,28.13,77.33,5.830000000000002,-21.08,IDLE,0
1770857750.9605656,33.87,57.0,28.12,77.88,5.7499999999999964,-20.879999999999995,IDLE,0
1770857926.240242,34.3,55.34,28.14,77.23,6.159999999999997,-21.89,IDLE,0
1770858040.4690914,34.44,54.78,28.19,77.19,6.2499999999999964,-22.41,IDLE,0
1770857645.73472,33.79,57.09,28.14,77.83,5.649999999999999,-20.739999999999995,IDLE,0
1770857927.0857868,34.29,55.29,28.15,77.2,6.140000000000001,-21.910000000000004,IDLE,0
1770857829.4566493,34.02,56.17,28.11,77.31,5.910000000000004,-21.14,IDLE,0
1770857835.646812,34.01,56.09,28.13,77.28,5.879999999999999,-21.19,IDLE,0
1770857734.3599143,33.77,57.21,28.09,77.98,5.680000000000003,-20.770000000000003,IDLE,0
1770857626.0403228,33.77,57.04,28.07,77.95,5.700000000000003,-20.910000000000004,IDLE,0
1770857894.4490347,34.27,55.44,28.15,77.19,6.1200000000000045,-21.75,IDLE,0
1770857659.521491,33.78,57.09,28.16,77.73,5.620000000000001,-20.64,IDLE,0
1770857667.1173346,33.68,57.12,28.13,77.68,5.550000000000001,-20.56000000000001,IDLE,0
1770857590.5900838,33.83,57.13,28.05,77.92,5.779999999999998,-20.79,IDLE,0
1770857696.3780174,33.6,57.39,28.06,77.78,5.540000000000003,-20.39,IDLE,0
1770857981.1044874,34.44,54.95,28.19,77.22,6.2499999999999964,-22.27,IDLE,0
1770857875.0352044,34.29,55.55,28.19,76.98,6.099999999999998,-21.430000000000007,IDLE,0
1770857929.617333,34.31,55.32,28.15,77.28,6.160000000000004,-21.96,IDLE,0
